StartDay,LastDay,Factor
06.11.2014,10.02.2015,0
04.04.2011,,1
23.10.2009,06.05.2015,0
07.05.2015,,0
25.08.2014,01.04.2015,0
04.05.2015,,0
01.03.2012,,0
24.07.2014,,0
02.03.2015,,1
23.08.2012,,0
18.06.2013,,1
14.02.2012,,1
10.07.2013,,1
06.06.2014,,0
03.02.2014,,0
02.05.2013,,1
08.04.2014,,0
23.08.2013,20.08.2015,1
03.05.2012,,1
21.08.2015,,1
16.02.2010,03.04.2015,0
22.01.2015,,0
02.04.2012,,0
18.05.2015,,1
23.02.2011,,1
20.02.2012,,1
26.04.2011,,1
29.01.2015,20.07.2015,0
06.04.2015,,0
13.03.2015,,1
17.01.2014,,1
01.04.2013,,0
06.05.2014,01.09.2015,0
16.08.2012,,1
25.05.2012,,1
06.05.2014,,0
01.12.2014,,1
12.03.2013,,0
09.02.2015,,1
12.01.2015,,1
18.12.2014,,1
12.09.2011,,1
12.07.2012,05.08.2015,0
16.12.2014,,1
23.07.2015,,1
03.04.2013,,1
22.03.2013,,1
02.12.2014,03.02.2015,0
10.10.2014,30.04.2015,0
05.05.2015,,1
02.12.2014,,1
20.03.2013,,1
11.04.2013,04.05.2015,1
11.05.2015,,0
01.06.2015,,1
03.09.2014,02.09.2015,0
07.07.2014,,1
23.05.2014,27.02.2015,0
12.11.2014,,1
20.03.2013,05.05.2015,1
04.05.2015,,0
01.08.2014,21.08.2015,0
03.10.2014,,0
01.07.2014,17.04.2015,0
09.03.2011,,1
03.09.2015,,1
15.05.2014,,0
04.08.2015,04.11.2015,0
02.11.2015,,0
14.02.2014,04.05.2015,0
24.08.2009,,0
25.07.2012,,0
02.11.2015,,0
03.11.2014,21.08.2015,0
20.05.2015,,1
18.06.2013,,1
01.08.2012,,0
18.05.2015,,1
11.11.2014,,1
06.11.2012,,1
08.10.2014,,0
08.08.2014,07.09.2015,0
11.10.2013,,1
01.10.2014,,1
04.05.2015,,0
21.05.2015,,1
04.05.2015,,0
03.01.2012,,1
11.10.2013,29.05.2015,0
05.10.2010,,1
20.10.2014,,1
01.08.2014,,0
05.05.2015,,1
24.08.2015,,0
06.05.2015,,1
12.01.2015,04.05.2015,0
02.03.2015,,1
06.11.2013,,1
21.11.2013,,0
02.04.2012,,1
08.10.2012,,1
07.12.2012,,0
02.04.2012,,0
23.01.2015,05.05.2015,0
03.11.2014,30.06.2015,0
12.10.2015,,0
07.05.2013,,0
02.09.2014,,0
11.02.2013,,1
04.11.2013,30.10.2015,0
05.01.2015,,1
01.02.2013,,1
04.07.2011,,1
01.04.2014,,0
01.07.2014,30.10.2015,0
11.11.2014,30.10.2015,0
10.09.2013,09.09.2015,0
24.03.2014,,0
03.11.2014,30.10.2015,1
04.05.2015,20.11.2015,0
14.04.2014,,1
12.03.2012,,1
04.12.2014,15.09.2015,0
10.02.2015,,0
13.01.2014,30.10.2015,0
15.04.2015,11.09.2015,0
03.08.2012,,0
01.02.2012,31.01.2015,1
15.07.2015,06.10.2015,0
02.02.2015,,0
05.11.2014,23.10.2015,0
03.09.2015,30.10.2015,0
16.04.2013,,1
05.01.2015,30.04.2015,0
24.12.2014,30.10.2015,0
21.08.2015,04.11.2015,0
12.02.2013,25.08.2015,0
04.05.2015,20.08.2015,0
03.11.2014,24.04.2015,0
08.06.2015,30.10.2015,1
01.08.2014,11.11.2015,0
05.05.2015,17.11.2015,0
03.11.2014,05.06.2015,0
18.06.2012,30.10.2015,0
10.03.2015,30.04.2015,0
03.11.2014,30.10.2015,0
03.11.2014,30.01.2015,0
20.05.2015,09.10.2015,0
03.11.2014,11.05.2015,0
02.11.2010,,0
18.05.2015,05.11.2015,1
03.11.2014,21.09.2015,1
16.10.2014,,0
